id1;id2;time;connexion
154;156;240;Transfer
155;45;35;Route
155;98;69;Route
155;156;180;Transfer
156;76;59;Route
156;371;46;Route
157;291;49;Route
157;306;36;Route
158;138;57;Route
158;371;66;Route
159;0;46;Route
159;147;44;Route
160;143;44;Route
160;226;40;Route
161;184;39;Route
161;364;28;Route
162;44;54;Route
162;59;53;Route
163;18;32;Route
163;105;47;Route
164;49;42;Route
164;244;60;Route
165;70;66;Route
165;375;33;Route
166;252;37;Route
166;258;38;Route
167;53;31;Route
167;265;31;Route
168;245;28;Route
168;326;49;Route
169;63;57;Route
169;341;54;Route
169;170;180;Transfer
170;144;46;Route
171;4;43;Route
171;264;49;Route
172;35;40;Route
172;240;35;Route
173;67;51;Route
173;227;34;Route
174;221;31;Route
174;346;72;Route
175;78;41;Route
175;225;88;Route
175;176;240;Transfer
176;390;62;Route
176;281;71;Route
176;177;240;Transfer
176;177;240;Transfer
177;78;41;Route
177;325;62;Route
178;81;43;Route
179;237;37;Route
180;112;71;Route
180;267;91;Route
181;88;44;Route
182;126;42;Route
183;278;51;Route
184;260;31;Route
184;352;36;Route
185;91;27;Route
185;186;33;Route
186;185;33;Route
186;372;53;Route
187;188;34;Route
187;273;46;Route
188;72;52;Route
188;187;34;Route
189;367;49;Route
189;370;35;Route
190;42;42;Route
190;269;28;Route
191;147;49;Route
191;194;67;Route
191;192;180;Transfer
192;64;57;Route
192;337;36;Route
193;25;42;Route
193;271;38;Route
194;191;67;Route
194;276;67;Route
195;47;41;Route
195;74;44;Route
196;259;47;Route
196;197;180;Transfer
197;141;49;Route
197;199;28;Route
198;52;32;Route
198;199;180;Transfer
199;104;62;Route
199;197;28;Route
200;94;27;Route
200;257;51;Route
201;145;47;Route
202;51;62;Route
202;326;112;Route
202;203;180;Transfer
203;317;53;Route
203;332;40;Route
204;85;47;Route
204;366;51;Route
205;94;39;Route
205;296;38;Route
206;106;36;Route
206;218;45;Route
206;207;300;Transfer
206;208;300;Transfer
206;209;300;Transfer
207;100;113;Route
207;113;47;Route
207;208;300;Transfer
207;209;300;Transfer
208;333;48;Route
208;361;42;Route
208;209;300;Transfer
209;101;36;Route
209;232;34;Route
210;3;41;Route
210;95;48;Route
211;86;37;Route
211;284;49;Route
212;275;86;Route
212;295;64;Route
212;213;300;Transfer
212;214;300;Transfer
212;215;300;Transfer
213;12;42;Route
213;214;300;Transfer
213;215;300;Transfer
214;236;42;Route
214;215;300;Transfer
215;42;35;Route
215;307;42;Route
216;62;48;Route
216;243;55;Route
217;322;37;Route
217;353;29;Route
218;206;45;Route
218;294;38;Route
219;297;50;Route
219;313;81;Route
219;220;180;Transfer
220;315;81;Route
220;316;35;Route
221;74;52;Route
221;174;31;Route
221;222;180;Transfer
222;323;42;Route
222;330;31;Route
223;132;68;Route
223;289;43;Route
223;224;240;Transfer
223;225;240;Transfer
224;59;72;Route
224;282;80;Route
224;225;240;Transfer
225;175;88;Route
225;298;75;Route
226;160;40;Route
226;270;39;Route
227;173;34;Route
227;356;38;Route
227;228;180;Transfer
228;255;53;Route
228;282;49;Route
229;305;43;Route
229;312;64;Route
230;26;64;Route
230;354;62;Route
231;106;29;Route
231;368;40;Route
231;232;180;Transfer
232;209;34;Route
232;348;46;Route
233;115;39;Route
233;320;33;Route
234;113;36;Route
234;249;38;Route
235;1;44;Route
235;284;44;Route
236;19;31;Route
236;214;42;Route
237;179;37;Route
237;261;37;Route
238;0;41;Route
238;322;27;Route
238;239;180;Transfer
239;5;54;Route
239;27;64;Route
240;172;35;Route
241;49;40;Route
241;149;57;Route
242;46;63;Route
242;243;240;Transfer
242;244;240;Transfer
243;83;36;Route
243;216;55;Route
243;244;180;Transfer
244;164;60;Route
244;352;37;Route
245;158;64;Route
245;168;28;Route
245;246;180;Transfer
246;27;59;Route
246;302;37;Route
247;146;50;Route
247;357;23;Route
247;248;180;Transfer
248;280;57;Route
249;234;38;Route
249;273;35;Route
250;44;64;Route
250;123;51;Route
251;4;35;Route
252;102;35;Route
252;166;37;Route
253;25;35;Route
254;71;73;Route
254;345;75;Route
255;71;37;Route
255;227;53;Route
256;362;37;Route
257;200;51;Route
257;265;26;Route
258;6;46;Route
258;166;38;Route
259;36;45;Route
260;184;31;Route
260;266;37;Route
261;237;37;Route
261;266;46;Route
262;3;33;Route
262;380;44;Route
263;114;72;Route
263;116;45;Route
264;171;49;Route
264;286;41;Route
265;167;31;Route
265;257;26;Route
266;260;37;Route
266;261;46;Route
267;39;46;Route
267;180;91;Route
268;337;39;Route
269;190;28;Route
269;301;35;Route
270;134;47;Route
270;226;39;Route
271;104;40;Route
271;193;38;Route
272;126;37;Route
272;131;63;Route
273;187;46;Route
273;249;35;Route
274;80;41;Route
274;81;43;Route
275;212;86;Route
275;328;41;Route
276;276;51;Route
276;384;31;Route
277;10;42;Route
277;82;47;Route
278;183;51;Route
278;357;59;Route
278;279;180;Transfer
279;320;37;Route
280;92;43;Route
281;69;131;Route
281;176;71;Route
281;282;180;Transfer
282;224;80;Route
282;227;49;Route
283;21;38;Route
283;146;33;Route
284;211;49;Route
284;235;44;Route
284;285;180;Transfer
285;116;32;Route
285;305;61;Route
286;264;41;Route
286;370;36;Route
287;23;57;Route
287;62;53;Route
288;17;89;Route
288;118;30;Route
289;38;38;Route
289;223;43;Route
290;7;39;Route
290;136;73;Route
291;141;37;Route
291;157;49;Route
292;95;35;Route
292;361;38;Route
292;293;180;Transfer
293;95;35;Route
293;101;43;Route
294;218;38;Route
294;347;41;Route
295;119;41;Route
295;212;64;Route
295;296;180;Transfer
296;105;42;Route
296;205;38;Route
297;40;37;Route
297;220;50;Route
298;60;63;Route
298;303;46;Route
298;299;180;Transfer
299;225;75;Route
299;304;48;Route
300;87;43;Route
300;341;46;Route
301;88;47;Route
301;269;35;Route
302;246;37;Route
302;366;53;Route
303;33;41;Route
303;298;46;Route
303;304;180;Transfer
304;32;41;Route
304;299;46;Route
305;229;43;Route
305;285;61;Route
306;157;36;Route
306;355;33;Route
307;58;31;Route
307;215;42;Route
308;338;37;Route
308;347;35;Route
309;8;58;Route
309;336;65;Route
309;310;180;Transfer
310;342;67;Route
310;375;28;Route
311;7;79;Route
311;129;48;Route
311;312;300;Transfer
311;313;300;Transfer
311;314;300;Transfer
311;315;300;Transfer
312;229;64;Route
312;350;37;Route
312;313;300;Transfer
312;314;300;Transfer
312;315;300;Transfer
313;140;47;Route
313;220;81;Route
313;314;300;Transfer
313;315;300;Transfer
314;220;81;Route
314;343;98;Route
314;315;300;Transfer
315;107;49;Route
315;344;107;Route
316;220;35;Route
316;369;27;Route
317;133;49;Route
317;203;53;Route
318;15;37;Route
318;48;60;Route
319;15;73;Route
320;233;33;Route
320;279;37;Route
320;279;180;Transfer
321;100;59;Route
321;359;23;Route
322;217;37;Route
322;238;27;Route
323;222;42;Route
323;334;47;Route
324;95;52;Route
324;128;42;Route
325;177;62;Route
325;353;69;Route
325;326;240;Transfer
325;327;240;Transfer
326;168;28;Route
326;202;112;Route
326;327;240;Transfer
327;103;44;Route
327;132;40;Route
328;43;57;Route
328;275;41;Route
329;46;46;Route
329;118;60;Route
330;73;46;Route
330;222;31;Route
331;16;62;Route
331;135;65;Route
332;110;37;Route
332;203;40;Route
333;208;48;Route
333;334;35;Route
334;323;47;Route
334;333;35;Route
335;61;28;Route
335;107;49;Route
336;38;35;Route
336;309;65;Route
337;192;36;Route
337;268;39;Route
338;9;28;Route
338;308;37;Route
339;142;27;Route
339;151;93;Route
339;340;240;Transfer
339;341;240;Transfer
340;125;31;Route
340;143;29;Route
340;341;240;Transfer
341;169;54;Route
341;300;46;Route
342;65;41;Route
342;310;67;Route
342;343;240;Transfer
342;344;240;Transfer
343;32;54;Route
343;314;107;Route
343;344;240;Transfer
344;33;52;Route
344;315;98;Route
345;149;79;Route
345;254;75;Route
346;174;72;Route
346;358;48;Route
346;347;180;Transfer
347;294;41;Route
347;308;35;Route
348;45;43;Route
348;232;46;Route
349;99;54;Route
349;154;33;Route
350;8;38;Route
350;312;37;Route
351;56;59;Route
351;85;46;Route
352;184;36;Route
352;244;37;Route
353;217;29;Route
353;325;69;Route
354;30;24;Route
354;230;62;Route
354;355;240;Transfer
355;139;46;Route
355;306;33;Route
356;77;57;Route
356;227;38;Route
357;247;23;Route
357;278;59;Route
358;99;31;Route
358;346;48;Route
359;137;54;Route
359;321;23;Route
360;80;49;Route
360;368;42;Route
361;208;42;Route
361;292;38;Route
362;56;75;Route
362;256;37;Route
363;365;56;Route
364;161;28;Route
364;365;41;Route
365;363;56;Route
365;364;41;Route
366;204;51;Route
366;302;53;Route
366;367;180;Transfer
367;103;30;Route
367;189;49;Route
368;231;40;Route
368;360;42;Route
369;58;31;Route
369;316;27;Route
370;189;35;Route
370;286;36;Route
371;156;46;Route
371;158;66;Route
372;53;47;Route
372;186;53;Route
373;196;32;Route
374;29;46;Route
374;134;53;Route
375;165;33;Route
375;310;28;Route
376;24;43;Route
377;89;32;Route
379;267;180;Transfer
378;390;59;Route
378;379;72;Route
379;378;72;Route
379;386;31;Route
380;262;44;Route
380;381;38;Route
381;380;38;Route
381;382;51;Route
382;381;51;Route
383;194;67;Route
383;276;51;Route
384;276;31;Route
384;385;63;Route
385;384;63;Route
386;379;31;Route
386;387;43;Route
387;386;43;Route
388;112;45;Route
388;389;37;Route
389;388;37;Route
390;176;62;Route
390;378;59;Route
390;326;240;Transfer
390;325;240;Transfer
390;327;240;Transfer
